# t [s]	f [Hz]	P [dBm]
0.437000	2421979448.000000	-71.990000

0.451000	2421979448.000000	-71.060000

0.465000	2421979448.000000	-72.300000

0.479000	2421979448.000000	-71.770000

0.493000	2421979448.000000	-71.690000

0.522000	2421979448.000000	-71.260000

0.535000	2421979448.000000	-71.330000

0.549000	2421979448.000000	-71.800000

0.563000	2421979448.000000	-71.180000

0.577000	2421979448.000000	-71.480000

0.591000	2421979448.000000	-71.580000

0.604000	2421979448.000000	-71.480000

0.618000	2421979448.000000	-71.370000

0.632000	2421979448.000000	-71.430000

0.646000	2421979448.000000	-71.320000

0.660000	2421979448.000000	-70.960000

0.673000	2421979448.000000	-71.240000

0.687000	2421979448.000000	-71.480000

0.701000	2421979448.000000	-71.480000

0.715000	2421979448.000000	-71.210000

0.729000	2421979448.000000	-72.340000

0.742000	2421979448.000000	-71.730000

0.756000	2421979448.000000	-71.260000

0.770000	2421979448.000000	-71.470000

0.784000	2421979448.000000	-71.210000

0.798000	2421979448.000000	-71.340000

0.811000	2421979448.000000	-71.570000

0.825000	2421979448.000000	-71.580000

0.848000	2421979448.000000	-71.640000

0.861000	2421979448.000000	-70.980000

0.875000	2421979448.000000	-71.170000

0.889000	2421979448.000000	-71.330000

0.903000	2421979448.000000	-71.380000

0.917000	2421979448.000000	-71.290000

0.930000	2421979448.000000	-71.390000

0.944000	2421979448.000000	-71.030000

0.958000	2421979448.000000	-71.580000

0.972000	2421979448.000000	-71.330000

0.986000	2421979448.000000	-71.280000

0.999000	2421979448.000000	-71.750000

1.013000	2421979448.000000	-71.530000

1.027000	2421979448.000000	-71.800000

1.041000	2421979448.000000	-72.000000

1.055000	2421979448.000000	-71.380000

1.068000	2421979448.000000	-71.560000

1.082000	2421979448.000000	-71.390000

1.096000	2421979448.000000	-71.530000

1.110000	2421979448.000000	-71.230000

1.124000	2421979448.000000	-71.570000

1.137000	2421979448.000000	-71.250000

1.151000	2421979448.000000	-71.240000

1.165000	2421979448.000000	-72.220000

1.179000	2421979448.000000	-71.570000

1.193000	2421979448.000000	-71.080000

1.207000	2421979448.000000	-71.200000

1.220000	2421979448.000000	-71.180000

1.234000	2421979448.000000	-70.930000

1.263000	2421979448.000000	-71.420000

1.277000	2421979448.000000	-71.740000

1.291000	2421979448.000000	-71.570000

1.304000	2421979448.000000	-71.620000

1.318000	2421979448.000000	-71.390000

1.332000	2421979448.000000	-71.370000

1.346000	2421979448.000000	-71.820000

1.360000	2421979448.000000	-71.320000

1.373000	2421979448.000000	-72.820000

1.387000	2421979448.000000	-71.160000

1.401000	2421979448.000000	-71.240000

1.415000	2421979448.000000	-71.630000

1.429000	2421979448.000000	-71.730000

1.442000	2421979448.000000	-71.190000

1.456000	2421979448.000000	-71.060000

1.470000	2421979448.000000	-71.360000

1.484000	2421979448.000000	-71.720000

1.498000	2421979448.000000	-73.170000

1.511000	2421979448.000000	-72.210000

1.525000	2421979448.000000	-71.330000

1.539000	2421979448.000000	-71.430000

1.553000	2421979448.000000	-71.500000

1.567000	2421979448.000000	-71.810000

1.580000	2421979448.000000	-71.450000

1.594000	2421979448.000000	-71.580000

1.608000	2421979448.000000	-71.730000

1.622000	2421979448.000000	-71.050000

1.636000	2421979448.000000	-71.280000

1.649000	2421979448.000000	-72.370000

1.670000	2421979448.000000	-71.280000

1.683000	2421979448.000000	-71.760000

1.697000	2421979448.000000	-71.840000

1.719000	2421979448.000000	-71.720000

1.732000	2421979448.000000	-71.620000

1.746000	2421979448.000000	-71.180000

1.759000	2421979448.000000	-71.170000

1.773000	2421979448.000000	-71.870000

1.787000	2421979448.000000	-71.760000

1.800000	2421979448.000000	-71.180000

1.813000	2421979448.000000	-71.330000

1.827000	2421979448.000000	-71.700000

1.841000	2421979448.000000	-71.490000

1.854000	2421979448.000000	-71.610000

1.868000	2421979448.000000	-71.440000

1.881000	2421979448.000000	-71.280000

1.895000	2421979448.000000	-71.630000

1.908000	2421979448.000000	-71.750000

1.922000	2421979448.000000	-71.460000

1.935000	2421979448.000000	-71.130000

1.949000	2421979448.000000	-71.160000

1.962000	2421979448.000000	-70.520000

1.991000	2421979448.000000	-71.480000

2.004000	2421979448.000000	-71.810000

2.018000	2421979448.000000	-70.430000

2.031000	2421979448.000000	-71.710000

2.045000	2421979448.000000	-71.190000

2.058000	2421979448.000000	-71.720000

2.072000	2421979448.000000	-71.950000

2.085000	2421979448.000000	-71.810000

2.099000	2421979448.000000	-71.180000

2.112000	2421979448.000000	-71.900000

2.126000	2421979448.000000	-71.430000

2.139000	2421979448.000000	-71.080000

2.153000	2421979448.000000	-71.620000

2.167000	2421979448.000000	-71.420000

2.180000	2421979448.000000	-72.040000

2.194000	2421979448.000000	-71.780000

2.207000	2421979448.000000	-71.330000

2.221000	2421979448.000000	-72.140000

2.234000	2421979448.000000	-71.630000

2.248000	2421979448.000000	-72.300000

2.261000	2421979448.000000	-71.380000

2.275000	2421979448.000000	-71.380000

2.288000	2421979448.000000	-71.430000

2.302000	2421979448.000000	-71.470000

2.315000	2421979448.000000	-71.430000

2.329000	2421979448.000000	-71.690000

2.342000	2421979448.000000	-72.330000

2.356000	2421979448.000000	-71.800000

2.369000	2421979448.000000	-71.440000

2.383000	2421979448.000000	-69.530000

2.396000	2421979448.000000	-71.170000

2.410000	2421979448.000000	-71.120000

2.423000	2421979448.000000	-71.510000

2.437000	2421979448.000000	-68.250000

2.450000	2421979448.000000	-71.740000

2.464000	2421979448.000000	-71.140000

2.477000	2421979448.000000	-71.900000

2.491000	2421979448.000000	-71.500000

2.504000	2421979448.000000	-71.830000

2.518000	2421979448.000000	-71.610000

2.531000	2421979448.000000	-71.220000

2.545000	2421979448.000000	-71.120000

2.559000	2421979448.000000	-71.080000

2.581000	2421979448.000000	-71.840000

2.594000	2421979448.000000	-71.560000

2.608000	2421979448.000000	-71.740000

2.621000	2421979448.000000	-71.680000

2.635000	2421979448.000000	-71.290000

2.648000	2421979448.000000	-81.790000

2.662000	2421979448.000000	-91.110000

2.675000	2421979448.000000	-92.700000

2.689000	2421979448.000000	-92.870000

2.717000	2421979448.000000	-90.990000

2.731000	2421979448.000000	-92.560000

2.744000	2421979448.000000	-91.840000

2.758000	2421979448.000000	-92.990000

2.772000	2421979448.000000	-92.440000

2.785000	2421979448.000000	-92.330000

2.799000	2421979448.000000	-71.770000

2.812000	2421979448.000000	-92.060000

2.826000	2421979448.000000	-92.780000

2.839000	2421979448.000000	-91.800000

2.853000	2421979448.000000	-91.990000

2.873000	2421979448.000000	-93.350000

2.886000	2421979448.000000	-92.510000

2.899000	2421979448.000000	-92.560000

2.912000	2421979448.000000	-92.600000

2.926000	2421979448.000000	-92.690000

2.939000	2421979448.000000	-91.680000

2.952000	2421979448.000000	-93.380000

2.965000	2421979448.000000	-91.330000

2.978000	2421979448.000000	-92.650000

2.992000	2421979448.000000	-73.820000

3.005000	2421979448.000000	-92.550000

